Denver Nuggets,Portland Trail Blazers,Denver Nuggets
Golden State Warriors,New York Knicks,Golden State Warriors
Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks
New Orleans Pelicans,Indiana Pacers,New Orleans Pelicans
Phoenix Suns,San Antonio Spurs,San Antonio Spurs
Boston Celtics,Charlotte Hornets,Boston Celtics
Chicago Bulls,Milwaukee Bucks,Milwaukee Bucks
Houston Rockets,New Orleans Pelicans,Houston Rockets
Memphis Grizzlies,Sacramento Kings,Sacramento Kings
Miami Heat,Los Angeles Clippers,Los Angeles Clippers
Orlando Magic,Brooklyn Nets,Orlando Magic
Philadelphia 76ers,Los Angeles Lakers,Los Angeles Lakers
Toronto Raptors,Atlanta Hawks,Atlanta Hawks
Utah Jazz,Dallas Mavericks,Utah Jazz
Washington Wizards,Detroit Pistons,Washington Wizards
Atlanta Hawks,Charlotte Hornets,Charlotte Hornets
Cleveland Cavaliers,Los Angeles Lakers,Cleveland Cavaliers
Denver Nuggets,New York Knicks,Denver Nuggets
Detroit Pistons,Indiana Pacers,Indiana Pacers
Golden State Warriors,Portland Trail Blazers,Golden State Warriors
Minnesota Timberwolves,Houston Rockets,Houston Rockets
Oklahoma City Thunder,Phoenix Suns,Oklahoma City Thunder
Dallas Mavericks,Sacramento Kings,Dallas Mavericks
Memphis Grizzlies,Utah Jazz,Utah Jazz
Miami Heat,Boston Celtics,Boston Celtics
Orlando Magic,Toronto Raptors,Toronto Raptors
Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers
San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs
Washington Wizards,Los Angeles Clippers,Washington Wizards
Chicago Bulls,Detroit Pistons,Chicago Bulls
Denver Nuggets,Dallas Mavericks,Denver Nuggets
Indiana Pacers,Washington Wizards,Indiana Pacers
Minnesota Timberwolves,Phoenix Suns,Minnesota Timberwolves
Oklahoma City Thunder,Atlanta Hawks,Atlanta Hawks
Charlotte Hornets,Los Angeles Lakers,Charlotte Hornets
Golden State Warriors,Utah Jazz,Golden State Warriors
Houston Rockets,San Antonio Spurs,San Antonio Spurs
Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers
Memphis Grizzlies,Boston Celtics,Boston Celtics
Miami Heat,Orlando Magic,Orlando Magic
Milwaukee Bucks,Cleveland Cavaliers,Cleveland Cavaliers
New York Knicks,Indiana Pacers,New York Knicks
Philadelphia 76ers,New Orleans Pelicans,New Orleans Pelicans
Sacramento Kings,Portland Trail Blazers,Sacramento Kings
Toronto Raptors,Brooklyn Nets,Toronto Raptors
Atlanta Hawks,Minnesota Timberwolves,Minnesota Timberwolves
Chicago Bulls,Washington Wizards,Washington Wizards
Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers
Detroit Pistons,Memphis Grizzlies,Memphis Grizzlies
New Orleans Pelicans,Oklahoma City Thunder,Oklahoma City Thunder
Phoenix Suns,Houston Rockets,Houston Rockets
Portland Trail Blazers,Dallas Mavericks,Dallas Mavericks
Utah Jazz,Sacramento Kings,Sacramento Kings
Brooklyn Nets,Golden State Warriors,Golden State Warriors
Indiana Pacers,Boston Celtics,Boston Celtics
Los Angeles Clippers,San Antonio Spurs,Los Angeles Clippers
Miami Heat,Los Angeles Lakers,Miami Heat
New York Knicks,Orlando Magic,New York Knicks
Boston Celtics,Oklahoma City Thunder,Oklahoma City Thunder
Charlotte Hornets,Chicago Bulls,Charlotte Hornets
